figure_panel,tissue_dataset,regulator,heme_gene,spearman_R,p_value,data_source
Figure_4B,HNSC_Normal,BRD2,UROD,-0.072,0.64,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD2,UROS,-0.19,0.22,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD4,ALAD,0.56,9.5e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD4,ALAS1,0.42,0.0051,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD4,CPOX,0.61,1.5e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD4,FECH,0.39,0.01,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD4,HMBS,0.032,0.84,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD4,PPOX,0.17,0.28,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD4,UROD,-0.042,0.79,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD4,UROS,-0.11,0.47,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,H2AFZ,ALAD,0.16,0.31,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,H2AFZ,ALAS1,0.2,0.19,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,H2AFZ,CPOX,0.66,2.2e-06,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,H2AFZ,FECH,0.068,0.66,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,H2AFZ,HMBS,0.45,0.0023,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,H2AFZ,PPOX,0.039,0.8,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,H2AFZ,UROD,-0.34,0.025,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,H2AFZ,UROS,-0.36,0.017,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,ATAD2,ALAD,-0.41,0.04,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,ATAD2,ALAS1,-0.18,0.39,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,ATAD2,CPOX,0.51,0.0091,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,ATAD2,FECH,0.18,0.38,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,ATAD2,HMBS,0.14,0.49,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,ATAD2,PPOX,0.42,0.036,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,ATAD2,UROD,-0.14,0.51,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,ATAD2,UROS,-0.25,0.24,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD2,ALAD,-0.45,0.026,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD2,ALAS1,0.068,0.75,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD2,CPOX,0.38,0.064,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD2,FECH,0.21,0.3,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD2,HMBS,-0.05,0.81,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD2,PPOX,0.18,0.38,GEPIA2 GTEx normal tissue RNA-seq
